source_portal,source_url,slug,name,brand,currency,price_low_eur,price_high_eur,overall_rating,power,control,ball_output,maneuverability,sweet_spot,total,feel_es,shape_es,weight_raw
padelzoom,https://padelzoom.es/puma-solar-attack-2023-victoria-iglesias/,puma-solar-attack-2023-victoria-iglesias,Puma Solar Attack 2023 Victoria Iglesias,Puma,EUR,190.0,,7.8,9.0,8.5,7.5,7.0,7.0,7.8,Medio-Duro,Diamante,360 +- 10 gramos
padelzoom,https://padelzoom.es/puma-solar-attack-pwr-2023/,puma-solar-attack-pwr-2023,Puma Solar Attack PWR 2023,Puma,EUR,92.0,170.0,7.6,8.5,7.5,8.0,7.0,7.0,7.6,Medio,Diamante,360 +- 10 gramos
padelzoom,https://padelzoom.es/puma-solar-blink-ctr-2023/,puma-solar-blink-ctr-2023,Puma Solar Blink CTR 2023,Puma,EUR,99.95,,7.3,6.5,7.5,7.5,7.5,7.5,7.3,Medio-Blando,Redonda,360 +- 10 gramos
padelzoom,https://padelzoom.es/babolat-air-vertuo-2023/,babolat-air-vertuo-2023,Babolat Air Vertuo 2023,Babolat,EUR,126.0,126.0,7.9,7.5,7.0,9.0,8.5,7.5,7.9,Medio-Blando,Diamante,335-355 gramos
padelzoom,https://padelzoom.es/babolat-counter-vertuo-2023/,babolat-counter-vertuo-2023,Babolat Counter Vertuo 2023,Babolat,EUR,134.49,134.49,8.2,6.5,8.0,9.0,8.5,9.0,8.2,Medio-Blando,Redonda,340-360 gramos
padelzoom,https://padelzoom.es/babolat-stima-energy-2023/,babolat-stima-energy-2023,Babolat Stima Energy 2023,Babolat,EUR,142.5,198.77,8.3,7.0,8.5,8.5,8.5,9.0,8.3,Medio,Redonda,325-345 gramos
padelzoom,https://padelzoom.es/babolat-stima-spirit-2023/,babolat-stima-spirit-2023,Babolat Stima Spirit 2023,Babolat,EUR,124.95,124.95,8.0,6.0,7.5,9.0,8.5,9.0,8.0,Medio-Blando,Redonda,325-345 gramos
padelzoom,https://padelzoom.es/babolat-technical-vertuo-2023/,babolat-technical-vertuo-2023,Babolat Technical Vertuo 2023,Babolat,EUR,126.0,126.0,8.1,8.0,7.5,9.0,7.5,8.5,8.1,Medio-Blando,Diamante,345-355 gramos
padelzoom,https://padelzoom.es/puma-solar-smash-2023/,puma-solar-smash-2023,Puma Solar Smash 2023,Puma,EUR,49.95,,6.0,5.0,5.5,6.5,6.5,6.5,6.0,Blando,Redonda,360 +- 10 gramos
padelzoom,https://padelzoom.es/siux-trilogy-3-attack/,siux-trilogy-3-attack,Siux Trilogy 3 Attack,Siux,EUR,79.95,,8.2,9.0,8.5,8.0,7.5,8.0,8.2,Medio,Diamante,355-375 gramos
padelzoom,https://padelzoom.es/puma-solar-blink-pwr-2023/,puma-solar-blink-pwr-2023,Puma Solar Blink PWR 2023,Puma,EUR,99.95,,7.3,7.5,7.0,7.5,7.0,7.5,7.3,Medio-Blando,Lágrima,360 +- 10 gramos
padelzoom,https://padelzoom.es/puma-solar-court-2023/,puma-solar-court-2023,Puma Solar Court 2023,Puma,EUR,69.95,,6.2,6.0,6.0,6.5,6.0,6.5,6.2,Medio-Blando,Lágrima,360 +- 10 gramos
padelzoom,https://padelzoom.es/siux-diablo-revolution-ii-sanyo-pro/,siux-diablo-revolution-ii-sanyo-pro,Siux Diablo Revolution II Sanyo Pro,Siux,EUR,193.9,239.0,8.6,8.5,8.5,9.0,8.5,8.5,8.6,Medio,Lágrima,355-375 gramos
padelzoom,https://padelzoom.es/puma-solar-court-woman-2023/,puma-solar-court-woman-2023,Puma Solar Court Woman 2023,Puma,EUR,69.95,,6.2,6.0,6.0,6.5,6.0,6.5,6.2,Medio-Blando,Lágrima,360 +- 10 gramos
padelzoom,https://padelzoom.es/head-flash-verde-2023/,head-flash-verde-2023,Head Flash Verde 2023,Head,EUR,73.62,73.62,6.9,6.5,7.5,6.5,7.5,6.5,6.9,Medio-Blando,Lágrima,350-370 gramos
padelzoom,https://padelzoom.es/dunlop-boost-lite-2022/,dunlop-boost-lite-2022,Dunlop Boost Lite 2022,Dunlop,EUR,68.9,68.9,7.3,6.0,7.5,8.0,7.5,7.5,7.3,Medio,Lágrima,360-375 gramos
padelzoom,https://padelzoom.es/enebe-spitfire-2023/,enebe-spitfire-2023,Enebe Spitfire 2023,Enebe,EUR,142.9,142.95,8.3,8.5,8.5,8.5,8.0,8.0,8.3,Medio,Lágrima,360-375 gramos
padelzoom,https://padelzoom.es/dunlop-boost-attack-2023/,dunlop-boost-attack-2023,Dunlop Boost Attack 2023,Dunlop,EUR,72.9,72.9,7.3,7.0,7.5,7.0,7.5,7.5,7.3,Medio,Lágrima,360-375 gramos
padelzoom,https://padelzoom.es/babolat-dyna-energy-2023/,babolat-dyna-energy-2023,Babolat Dyna Energy 2023,Babolat,EUR,187.0,,8.1,8.0,8.0,8.0,8.5,8.0,8.1,Medio,Lágrima,320-340 gramos
