source_portal,source_url,slug,name,brand,description,published_at,overall_rating,power,control,rebound,maneuverability,sweet_spot
padelful,https://www.padelful.com/en/rackets/adidas-cross-it-carbon-ctrl-2026,adidas-cross-it-carbon-ctrl-2026,Adidas Cross IT Carbon CTRL 2026,Adidas,,2025-12-08T12:52:30.390Z,8.2,7.0,8.0,9.0,8.9,8.3
padelful,https://www.padelful.com/en/rackets/adidas-cross-it-carbon-ctrl-3-4-2025,adidas-cross-it-carbon-ctrl-3-4-2025,Adidas Cross It Carbon CTRL 3.4 2025,Adidas,,2025-02-12T15:19:19.522Z,8.4,7.1,8.2,9.1,9.0,8.6
padelful,https://www.padelful.com/en/rackets/adidas-cross-it-ctrl-2024,adidas-cross-it-ctrl-2024,Adidas Cross It CTRL 2024,Adidas,,2023-12-20T12:15:07.332Z,8.7,7.6,9.0,8.7,9.1,9.1
padelful,https://www.padelful.com/en/rackets/adidas-cross-it-ctrl-2026,adidas-cross-it-ctrl-2026,Adidas Cross IT CTRL 2026,Adidas,,2025-12-08T13:18:16.516Z,8.6,7.5,9.2,8.4,9.1,9.0
padelful,https://www.padelful.com/en/rackets/adidas-cross-it-ctrl-3-4-2025,adidas-cross-it-ctrl-3-4-2025,Adidas Cross It CTRL 3.4 2025,Adidas,,2025-02-12T15:08:18.724Z,8.7,7.6,8.9,8.7,9.0,9.1
padelful,https://www.padelful.com/en/rackets/adidas-cross-it-light-2024,adidas-cross-it-light-2024,Adidas Cross It Light 2024,Adidas,,2023-12-20T12:25:06.321Z,8.5,6.3,8.6,8.9,9.5,9.1
padelful,https://www.padelful.com/en/rackets/adidas-cross-it-light-2026-martita-ortega,adidas-cross-it-light-2026-martita-ortega,Adidas Cross IT Light 2026 - Martita Ortega,Adidas,,2025-12-08T12:35:43.553Z,8.5,6.0,8.5,9.5,9.4,8.9
padelful,https://www.padelful.com/en/rackets/adidas-cross-it-light-3-4-2025-martita-ortega,adidas-cross-it-light-3-4-2025-martita-ortega,Adidas Cross It Light 3.4 2025 - Martita Ortega,Adidas,,2025-02-12T15:09:50.840Z,8.5,6.1,8.3,9.4,9.7,8.9
padelful,https://www.padelful.com/en/rackets/adidas-cross-it-light-pro-edt-2024-martita-ortega,adidas-cross-it-light-pro-edt-2024-martita-ortega,Adidas Cross It Light Pro EDT 2024 Martita Ortega,Adidas,,2024-10-02T05:36:44.311Z,8.6,8.4,8.8,8.5,8.6,8.9
padelful,https://www.padelful.com/en/rackets/adidas-cross-it-team-3-4-2025,adidas-cross-it-team-3-4-2025,Adidas Cross It Team 3.4 2025,Adidas,,2025-02-12T15:19:59.347Z,7.5,7.5,7.0,8.0,7.6,7.6
padelful,https://www.padelful.com/en/rackets/adidas-cross-it-team-ctrl-2026,adidas-cross-it-team-ctrl-2026,Adidas Cross IT Team CTRL 2026,Adidas,,2025-12-08T12:43:05.270Z,7.6,7.2,6.8,7.8,8.0,8.1
padelful,https://www.padelful.com/en/rackets/adidas-cross-it-team-light-2026,adidas-cross-it-team-light-2026,Adidas Cross IT Team Light 2026,Adidas,,2025-12-08T12:44:23.824Z,7.7,6.3,7.1,8.2,8.9,7.9
padelful,https://www.padelful.com/en/rackets/adidas-cross-it-team-light-3-4-2025,adidas-cross-it-team-light-3-4-2025,Adidas Cross It Team Light 3.4 2025,Adidas,,2025-02-12T15:15:19.755Z,7.7,6.8,6.9,8.2,9.1,7.5
padelful,https://www.padelful.com/en/rackets/adidas-drive-3-1-2022,adidas-drive-3-1-2022,Adidas Drive 3.1 2022,Adidas,,2022-08-01T20:39:00.703Z,5.9,5.8,6.0,5.5,6.9,5.4
padelful,https://www.padelful.com/en/rackets/adidas-drive-3-1,adidas-drive-3-1,Adidas Drive 3.1,Adidas,,2023-06-20T01:00:30.000Z,6.2,6.0,6.2,5.5,7.2,6.0
