unified_id,canonical_name,brand,year,source_count,reliability_score,source_portals,source_urls_json,aliases_json,slug_canonical,shape,balance,surface,level,feel,weight_raw,image_source_recommended,overall_rating_avg,power_avg,control_avg,comfort_avg,spin_avg,forgiveness_avg,maneuverability_avg,low_speed_avg,rebound_avg,sweet_spot_avg,ball_output_avg,effect_avg,tolerance_avg,total_avg,has_padelful,padelful_url,padelful_name,has_pala-hack,pala-hack_url,pala-hack_name,has_padelzoom,padelzoom_url,padelzoom_name,has_padelreference,padelreference_url,padelreference_name,has_extreme-tennis,extreme-tennis_url,extreme-tennis_name
racket-02174,Bullpadel Vertex 05 Woman 26 racket,bullpadel,2026,1,1,extreme-tennis,"{""extreme-tennis"": ""https://www.extreme-tennis.eu/bullpadel-padel-rackets/22051-bullpadel-vertex-05-woman-26-racket.html""}","[""Bullpadel Vertex 05 Woman 26 racket""]",22051-bullpadel-vertex-05-woman-26-racket,,,,,,,extreme-tennis,,69.0,70.0,86.0,88.0,69.0,72.0,77.0,,,,,,,0,,,0,,,0,,,0,,,1,https://www.extreme-tennis.eu/bullpadel-padel-rackets/22051-bullpadel-vertex-05-woman-26-racket.html,Bullpadel Vertex 05 Woman 26 racket
racket-02237,Bullpadel Vertex Advance 26 racket,bullpadel,2026,1,1,extreme-tennis,"{""extreme-tennis"": ""https://www.extreme-tennis.eu/bullpadel-padel-rackets/22557-bullpadel-vertex-advance-26-racket.html""}","[""Bullpadel Vertex Advance 26 racket""]",22557-bullpadel-vertex-advance-26-racket,,,,,,,extreme-tennis,,69.0,66.0,78.0,88.0,78.0,67.0,80.0,,,,,,,0,,,0,,,0,,,0,,,1,https://www.extreme-tennis.eu/bullpadel-padel-rackets/22557-bullpadel-vertex-advance-26-racket.html,Bullpadel Vertex Advance 26 racket
racket-01752,Bullpadel Vertex JR Boy 2026,bullpadel,2026,1,1,pala-hack,"{""pala-hack"": ""https://pala-hack.com/en/padel-rackets/bullpadel/bullpadel-vertex-jr-boy-2026/""}","[""Bullpadel Vertex JR Boy 2026""]",bullpadel-vertex-jr-boy-2026,Diamond,Medium,Smooth,Intermediate,Soft,,pala-hack,7.7,7.0,7.75,,,,8.5,,,7.75,7.5,,,7.7,0,,,1,https://pala-hack.com/en/padel-rackets/bullpadel/bullpadel-vertex-jr-boy-2026/,Bullpadel Vertex JR Boy 2026,0,,,0,,,0,,
racket-01753,Bullpadel Vertex JR Girl 2026,bullpadel,2026,1,1,pala-hack,"{""pala-hack"": ""https://pala-hack.com/en/padel-rackets/bullpadel/bullpadel-vertex-jr-girl-2026/""}","[""Bullpadel Vertex JR Girl 2026""]",bullpadel-vertex-jr-girl-2026,Diamond,Medium,Smooth,Intermediate,Soft,,pala-hack,7.7,7.0,7.75,,,,8.5,,,7.75,7.5,,,7.7,0,,,1,https://pala-hack.com/en/padel-rackets/bullpadel/bullpadel-vertex-jr-girl-2026/,Bullpadel Vertex JR Girl 2026,0,,,0,,,0,,
racket-02042,Bullpadel Vertex Jr Girl 26,bullpadel,2026,1,1,padelreference,"{""padelreference"": ""https://www.padelreference.com/en/padel-rackets/p/bullpadel-vertex-jr-girl-26""}","[""Bullpadel Vertex Jr Girl 26""]",bullpadel-vertex-jr-girl-26,Round,Head Heavy,Fiberglass,,,340g,padelreference,,8.0,7.0,9.0,,,8.0,,,,,7.0,7.0,,0,,,0,,,0,,,1,https://www.padelreference.com/en/padel-rackets/p/bullpadel-vertex-jr-girl-26,Bullpadel Vertex Jr Girl 26,0,,
racket-01391,Bullpadel Vertex Junior Boy 2023,bullpadel,2023,1,1,pala-hack,"{""pala-hack"": ""https://pala-hack.com/en/padel-rackets/bullpadel/bullpadel-vertex-junior-boy-2023/""}","[""Bullpadel Vertex Junior Boy 2023""]",bullpadel-vertex-junior-boy-2023,Diamond,Medium,Rough,Intermediate,Medium,,pala-hack,7.4,7.0,7.0,,,,7.5,,,7.5,8.0,,,7.4,0,,,1,https://pala-hack.com/en/padel-rackets/bullpadel/bullpadel-vertex-junior-boy-2023/,Bullpadel Vertex Junior Boy 2023,0,,,0,,,0,,
racket-01392,Bullpadel Vertex Junior Girl 2023,bullpadel,2023,1,1,pala-hack,"{""pala-hack"": ""https://pala-hack.com/en/padel-rackets/bullpadel/bullpadel-vertex-junior-girl-2023/""}","[""Bullpadel Vertex Junior Girl 2023""]",bullpadel-vertex-junior-girl-2023,Diamond,Medium,Smooth,Intermediate,Medium,,pala-hack,7.4,7.0,7.0,,,,7.5,,,7.5,8.0,,,7.4,0,,,1,https://pala-hack.com/en/padel-rackets/bullpadel/bullpadel-vertex-junior-girl-2023/,Bullpadel Vertex Junior Girl 2023,0,,,0,,,0,,
racket-02181,Bullpadel XPLO 25 racket,bullpadel,2025,1,1,extreme-tennis,"{""extreme-tennis"": ""https://www.extreme-tennis.eu/bullpadel-padel-rackets/19859-bullpadel-xplo-25-racket.html""}","[""Bullpadel XPLO 25 racket""]",19859-bullpadel-xplo-25-racket,,,,,,,extreme-tennis,,71.0,84.0,68.0,68.0,70.0,81.0,70.0,,,,,,,0,,,0,,,0,,,0,,,1,https://www.extreme-tennis.eu/bullpadel-padel-rackets/19859-bullpadel-xplo-25-racket.html,Bullpadel XPLO 25 racket
racket-02171,Bullpadel XPLO 26 racket,bullpadel,2026,1,1,extreme-tennis,"{""extreme-tennis"": ""https://www.extreme-tennis.eu/bullpadel-padel-rackets/22048-bullpadel-xplo-26-racket.html""}","[""Bullpadel XPLO 26 racket""]",22048-bullpadel-xplo-26-racket,,,,,,,extreme-tennis,,76.0,82.0,62.0,68.0,68.0,76.0,65.0,,,,,,,0,,,0,,,0,,,0,,,1,https://www.extreme-tennis.eu/bullpadel-padel-rackets/22048-bullpadel-xplo-26-racket.html,Bullpadel XPLO 26 racket
racket-02019,Bullpadel XPLO Comfort 26,bullpadel,2026,1,1,padelreference,"{""padelreference"": ""https://www.padelreference.com/en/padel-rackets/p/bullpadel-xplo-comfort-26""}","[""Bullpadel XPLO Comfort 26""]",bullpadel-xplo-comfort-26,Diamond,Head Heavy,Carbon/Fiberglass Mix,,,370g,padelreference,,9.0,8.0,9.0,,,7.0,,,,,7.0,8.0,,0,,,0,,,0,,,1,https://www.padelreference.com/en/padel-rackets/p/bullpadel-xplo-comfort-26,Bullpadel XPLO Comfort 26,0,,
